rank,processor,rating,antutu10,geekbench6,cores,clock,gpu,company,processor_key
128,Dimensity 6020,33 C,404064,732 / 1924,8 (2+6),2200 MHz,Mali-G57 MP2,MediaTek,dimensity 6020
129,Helio G99,33 C,422461,729 / 1979,8 (2+6),2200 MHz,Mali-G57 MP2,MediaTek,helio g99
130,Snapdragon 480 Plus,33 C,390749,862 / 1857,8 (2+6),2200 MHz,Adreno 619,Qualcomm,snapdragon 480 plus
131,Dimensity 800U,33 C,433106,752 / 1836,8 (2+6),2400 MHz,Mali-G57 MP3,MediaTek,dimensity 800u
132,Snapdragon 720G,33 C,389059,750 / 1774,8 (2+6),2300 MHz,Adreno 618,Qualcomm,snapdragon 720g
133,Kirin 810,33 C,431674,770 / 1983,8 (2+6),2270 MHz,Mali-G52 MP6,Huawei,kirin 810
134,Snapdragon 480,32 C,356931,693 / 1802,8 (2+6),2000 MHz,Adreno 619,Qualcomm,snapdragon 480
135,Dimensity 700,32 C,384403,711 / 1783,8 (2+6),2200 MHz,Mali-G57 MP2,MediaTek,dimensity 700
136,Dimensity 720,32 C,388163,770 / 1844,8 (2+6),2000 MHz,Mali-G57 MP3,MediaTek,dimensity 720
137,Snapdragon 690,32 C,382798,792 / 1889,8 (2+6),2000 MHz,Adreno 619,Qualcomm,snapdragon 690
138,Snapdragon 730G,32 C,377951,697 / 1809,8 (2+6),2200 MHz,Adreno 618,Qualcomm,snapdragon 730g
139,Exynos 9810,32 C,467429,559 / 1840,8 (4+4),2900 MHz,Mali-G72 MP18,Samsung,exynos 9810
140,Snapdragon 685,31 C,348662,473 / 1510,8 (4+4),2800 MHz,Adreno 610,Qualcomm,snapdragon 685
141,Helio G95,31 C,409383,636 / 1738,8 (2+6),2050 MHz,Mali-G76 MP4,MediaTek,helio g95
142,Snapdragon 730,31 C,357235,691 / 1629,8 (2+6),2200 MHz,Adreno 618,Qualcomm,snapdragon 730
143,Helio G96,30 C,380990,645 / 1855,8 (2+6),2050 MHz,Mali-G57 MP2,MediaTek,helio g96
144,Helio G90,30 C,368990,625 / 1744,8 (2+6),2050 MHz,Mali-G76 MP4,MediaTek,helio g90
145,Helio G90T,30 C,368990,649 / 1835,8 (2+6),2050 MHz,Mali-G76 MP4,MediaTek,helio g90t
146,A10 Fusion,30 C,398082,878 / 1319,4 (2+2),2340 MHz,PowerVR GT7600,Apple,a10 fusion
147,Snapdragon 680,29 C,308287,412 / 1444,8 (4+4),2400 MHz,Adreno 610,Qualcomm,snapdragon 680
148,Snapdragon 678,29 C,337557,680 / 1556,8 (2+6),2200 MHz,Adreno 612,Qualcomm,snapdragon 678
